college,college_scorecard,opeid,conference,division
Augsburg University,Augsburg University,233400,Minnesota Intercollegiate Athletic Conference,NCAA D3
Augustana College - Illinois,Augustana College,163300,College Conference of Illinois and Wisconsin,NCAA D3
Augustana University - South Dakota,Augustana University,345800,Northern Sun Intercollegiate Conference,NCAA D2
Aurora University,Aurora University,163400,Northern Athletics Collegiate Conference,NCAA D3
Austin College,Austin College,354300,Southern Collegiate Athletic Conference,NCAA D3
Austin Peay State University,Austin Peay State University,347800,Ohio Valley Conference,NCAA FCS
Averett University,Averett University,370200,USA South Athletic Conference,NCAA D3
Avila University,Avila University,244900,Kansas Collegiate Athletic Conference,NAIA
Baker University,Baker University,190300,Heart of America Athletic Conference,NAIA
Baldwin Wallace University,Baldwin Wallace University,301400,Ohio Athletic Conference,NCAA D3
Ball State University,Ball State University,178600,Mid-American Conference,NCAA FBS
Barton College,Barton College,290800,Conference Carolinas,NCAA D2
Bates College,Bates College,203600,New England Small College Athletic Conference,NCAA D3
Baylor University,Baylor University,354500,Big 12 Conference,NCAA FBS
Becker College,Becker College,212300,Commonwealth Coast Conference,NCAA D3
Belhaven University,Belhaven University,239700,American Southwest Conference,NCAA D3
Beloit College,Beloit College,383500,Midwest Conference,NCAA D3
Bemidji State University,Bemidji State University,233600,Northern Sun Intercollegiate Conference,NCAA D2
Benedict College,Benedict College,342000,Southern Intercollegiate Athletic Conference,NCAA D2
Benedictine College,Benedictine College,1025600,Heart of America Athletic Conference,NAIA
Benedictine University,Benedictine University,176700,Northern Athletics Collegiate Conference,NCAA D3
Bentley University,Bentley University,212400,Northeast-10 Conference,NCAA D2
Berry College,Berry College,155400,Southern Athletic Association,NCAA D3
Bethany College - Kansas,Bethany College,190400,Kansas Collegiate Athletic Conference,NAIA
Bethany College - West Virginia,Bethany College,380800,Presidents' Athletic Conference,NCAA D3
Bethel College - Kansas,Bethel College-North Newton,190500,Kansas Collegiate Athletic Conference,NAIA
Bethel University - Minnesota,Bethel University,905800,Minnesota Intercollegiate Athletic Conference,NCAA D3
Bethel University - Tennessee,Bethel University,348000,Mid-South Conference,NAIA
Bethune-Cookman University,Bethune-Cookman University,146700,Mid-Eastern Athletic Conference,NCAA FCS
Birmingham-Southern College,Birmingham-Southern College,101200,Southern Athletic Association,NCAA D3
